program_id,program_name,program_short_name,program_family,owning_agency_id,owning_agency_name,is_governmentwide,successor_program_id,name_source,notes
dod_seaport_nxg,SeaPort Next Generation,SeaPort-NxG,IDIQ,1700,"DEPT OF THE NAVY",false,,curated,"Navy SeaPort-NxG services contracts."
dla_pharmaceutical_prime_vendor,DLA Pharmaceutical Prime Vendor,DLA PV,IDIQ,97AS,"DEPT OF DEFENSE",false,,curated,"DLA pharmaceutical prime-vendor stems observed as SPM2DX and SPE2DX."
dla_operational_equipment_ist,DLA Operational Equipment IST,SPE8EJ,IDIQ,97AS,"DEPT OF DEFENSE",false,,curated,"DLA operational equipment / industrial support stems using SPE8EJ."
usaid_gshc_psm,Global Health Supply Chain - Procurement and Supply Management,GSHC PSM,IDIQ,7200,"AGENCY FOR INTERNATIONAL DEVELOPMENT",true,,curated,"USAID global health supply chain single-award IDIQ."
cbp_southwest_border_construction,CBP Southwest Border Construction IDIQ,CBP Border IDIQ,IDIQ,7014,"U.S. CUSTOMS AND BORDER PROTECTION",false,,curated,"CBP multiple-award construction IDIQ for southwest border work."
mobility_craf,Civil Reserve Air Fleet,CRAF,IDIQ,9776,"DEPT OF DEFENSE",false,,curated,"Air Mobility Command civil reserve air fleet transportation contracts."
ussocom_sof_glss,Special Operations Forces Global Logistics Support Services,SOF GLSS,IDIQ,9768,"DEPT OF DEFENSE",false,,curated,"USSOCOM global logistics support services vehicle."
usaf_c17_gisp,C-17 Government Integrated Sustainment Program,C-17 GISP,IDIQ,5700,"DEPT OF THE AIR FORCE",false,,curated,"C-17 sustainment and product-support ordering vehicle."
usaf_c130j_ordering,C-130J Ordering Contract,C-130J,IDIQ,5700,"DEPT OF THE AIR FORCE",false,,curated,"C-130J five-year ordering contract."
usaf_f15ex,F-15EX,F-15EX,IDIQ,5700,"DEPT OF THE AIR FORCE",false,,curated,"F-15EX ordering vehicle."
usaf_jdam,JDAM SAASM Anti-Jam,JDAM,IDIQ,5700,"DEPT OF THE AIR FORCE",false,,curated,"JDAM SAASM / anti-jam ordering vehicle."
usaf_lincoln_laboratory_ffrdc,MIT Lincoln Laboratory FFRDC,Lincoln Lab,IDIQ,5700,"DEPT OF THE AIR FORCE",false,,curated,"MIT Lincoln Laboratory FFRDC sponsorship agreement."
